ENTRY,BEER,BREWERY,LOCATION,STYLE,SIZE,ABV,IBUs
2630,98 Problems (Cuz A Hop Ain't One),Perrin Brewing Company,"Comstock Park, MI",American IPA,12 oz.,6.50%,65
2629,Veteran’s Pale Ale (VPA),Perrin Brewing Company,"Comstock Park, MI",American Pale Ale (APA),12 oz.,5.00%,40
2628,Grapefruit IPA,Perrin Brewing Company,"Comstock Park, MI",American IPA,12 oz.,5.00%,35
2627,Train Hopper,Witch's Hat Brewing Company,"South Lyon, MI",American IPA,12 oz.,5.80%,72
2626,Edward’s Portly Brown,Witch's Hat Brewing Company,"South Lyon, MI",American Brown Ale,12 oz.,4.50%,N/A
2625,Dirty Bastard,Founders Brewing Company,"Grand Rapids, MI",Scotch Ale / Wee Heavy,12 oz.,8.50%,50
2624,Deflator,Flat 12 Bierwerks,"Indianapolis, IN",Doppelbock,16 oz.,6.50%,N/A
2623,Cafe Leche,Tin Man Brewing Company,"Evansville, IN",American Porter,16 oz.,5.80%,20
2622,Damascene Apricot Sour,Tin Man Brewing Company,"Evansville, IN",Fruit / Vegetable Beer,16 oz.,5.20%,12
2621,Csar,Tin Man Brewing Company,"Evansville, IN",Russian Imperial Stout,16 oz.,12.00%,90
2620,Saucy Intruder,Black Acre Brewing Co.,"Indianapolis, IN",Rye Beer,16 oz.,7.20%,75
2619,Insert Hop Reference,Brew Link Brewing,"Plainfield, IN",American Pale Ale (APA),16 oz.,5.80%,N/A
2618,Thai.p.a,Bare Hands Brewery,"Granger, IN",American IPA,16 oz.,7.00%,46
2617,Citra Faced,Three Pints Brewing,"Martinsville, IN",American Pale Wheat Ale,16 oz.,5.50%,64
2616,Pole Barn Stout,Three Pints Brewing,"Martinsville, IN",Oatmeal Stout,16 oz.,5.50%,31
2615,Pale,Three Pints Brewing,"Martinsville, IN",American Pale Ale (APA),16 oz.,5.40%,37
2614,Yoshi's Nectar,Three Pints Brewing,"Martinsville, IN",California Common / Steam Beer,16 oz.,5.30%,27
2613,Feel Like Maplin' Love,Four Fathers Brewing,"Valparaiso, IN",Oatmeal Stout,16 oz.,5.50%,N/A
2612,Father's Beer,Four Fathers Brewing,"Valparaiso, IN",Belgian Pale Ale,16 oz.,5.00%,N/A
2611,The 26th,Four Fathers Brewing,"Valparaiso, IN",American IPA,16 oz.,6.00%,N/A
2610,The Gadget,Four Fathers Brewing,"Valparaiso, IN",American IPA,16 oz.,6.40%,90
2609,Tribute,Indiana City Brewing,"Indianapolis, IN",American Pale Ale (APA),12 oz.,5.80%,58
2608,Wrath of Pele,Burn 'Em Brewing,"Michigan City, IN",American Brown Ale,16 oz.,6.50%,N/A
2607,Black Beer'd,Burn 'Em Brewing,"Michigan City, IN",American Black Ale,16 oz.,6.80%,N/A
2606,Mr. Tea,Burn 'Em Brewing,"Michigan City, IN",Fruit / Vegetable Beer,24 oz.,7.80%,N/A
2605,Tip Off,Sun King Brewing Company,"Indianapolis, IN",Altbier,16 oz.,5.20%,29
2604,Blonde Czich,Evil Czech Brewery,"Mishawaka, IN",American Blonde Ale,16 oz.,4.90%,23
2603,Galaxyfest,450 North Brewing Company,"Columbus, IN",American IPA,16 oz.,6.50%,N/A
2602,Citrafest,450 North Brewing Company,"Columbus, IN",American IPA,16 oz.,5.00%,45
2601,Deduction,Taxman Brewing Company,"Bargersville, IN",Dubbel,12 oz.,8.00%,22
2600,Gone A-Rye,Cedar Creek Brewery,"Seven Points, TX",American Double / Imperial IPA,16 oz.,8.50%,90
2599,Sex Panther,SanTan Brewing Company,"Chandler, AZ",American Porter,12 oz.,6.90%,20
2598,Tart Side of the Barrel,Brewery Vivant,"Grand Rapids, MI",American Double / Imperial Stout,16 oz.,9.80%,N/A
2597,Linnaeus Mango IPA,Brewery Vivant,"Grand Rapids, MI",American IPA,16 oz.,6.00%,N/A
2596,Heavy Lifting,Boulevard Brewing Company,"Kansas City, MO",American IPA,12 oz.,6.20%,80
2595,Bastian,James Page Brewing Company,"Stevens Point, WI",American Strong Ale,12 oz.,???,N/A
2594,Surfrider,The Dudes' Brewing Company,"Torrance, CA",American Pale Ale (APA),16 oz.,5.20%,35
2593,Grapefruit Sculpin,Ballast Point Brewing Company,"San Diego, CA",American IPA,12 oz.,7.00%,N/A
2592,Liberty Ale,Anchor Brewing Company,"San Francisco, CA",American IPA,12 oz,5.90%,N/A
2591,Weiss Weiss Baby,Figueroa Mountain Brewing Company,"Buellton, CA",Kristalweizen,12 oz.,4.50%,N/A
2590,Czech Yo Self,Figueroa Mountain Brewing Company,"Buellton, CA",Czech Pilsener,12 oz.,5.50%,45
2589,Raja,Avery Brewing Company,"Boulder, CO",American Double / Imperial IPA,12 oz.,8.00%,N/A
2588,Cow Creek,Twisted X Brewing Company,"Dripping Springs, TX",American Amber / Red Lager,12 oz.,5.40%,26
2587,Vanilla Porter,Gonzo's BiggDogg Brewing,"Kalamazoo, MI",American Porter,16 oz.,7.00%,11
2586,Blueberry Blonde,Big Muddy Brewing,"Murphysboro, IL",Fruit / Vegetable Beer,12 oz.,6.00%,N/A
2585,Galaxy IPA,Big Muddy Brewing,"Murphysboro, IL",American IPA,16 oz.,7.50%,60
2584,Gose,Lost Nation Brewing,"East Fairfield, VT",Gose,16 oz.,4.60%,8
2583,Vermont Pilsner,Lost Nation Brewing,"East Fairfield, VT",German Pilsener,16 oz.,4.80%,20
2582,Mosaic Single Hop IPA,Lost Nation Brewing,"East Fairfield, VT",American IPA,16 oz.,5.50%,N/A
2581,Lost Galaxy,Lost Nation Brewing,"East Fairfield, VT",American IPA,16 oz.,4.50%,N/A
2580,Gose,Rising Tide Brewing Company,"Portland, ME",Gose,16 oz.,3.50%,N/A
2579,Jah Mon,Rivertowne Brewing Company,"Export, PA",American IPA,12 oz.,5.00%,100
2578,IPA,Anchor Brewing Company,"San Francisco, CA",American IPA,12 oz.,6.50%,N/A
2577,Summer Wheat,Anchor Brewing Company,"San Francisco, CA",American Pale Wheat Ale,12 oz.,4.50%,N/A
2576,Fist City,Revolution Brewing Company,"Chicago, IL",American Pale Ale (APA),12 oz.,5.50%,40
2575,Wooden Rooster,Tallgrass Brewing Company,"Manhattan, KS",Tripel,16.9 oz.,8.50%,34
2574,4Beans,Sixpoint Craft Ales,"Brooklyn, NY",Baltic Porter,12 oz.,10.00%,52
2573,Raspberry Berliner Weisse,White Birch Brewing,"Hooksett, NH",Berliner Weissbier,12 oz.,5.50%,N/A
2572,Hop Session,White Birch Brewing,"Hooksett, NH",American IPA,12 oz.,5.00%,N/A
2571,Blueberry Berliner Weisse,White Birch Brewing,"Hooksett, NH",Berliner Weissbier,12 oz.,5.50%,N/A
2570,Berliner Weisse,White Birch Brewing,"Hooksett, NH",Berliner Weissbier,12 oz.,5.50%,N/A
2569,Easy Jack,Firestone Walker Brewing Company,"Paso Robles, CA",American IPA,12 oz.,4.50%,47
2568,Take Two Pils,SweetWater Brewing Company,"Atlanta, GA",German Pilsener,12 oz.,5.50%,35
2567,Flying Mouse 8,Flying Mouse Brewery,"Troutville, VA",American Porter,12 oz.,4.00%,N/A
2566,Flying Mouse 4,Flying Mouse Brewery,"Troutville, VA",American IPA,12 oz.,7.00%,70
2565,Lee Hill Series Vol. 5 - Belgian Style Quadrupel Ale,Upslope Brewing Company,"Boulder, CO",Quadrupel (Quad),19.2 oz.,12.80%,N/A
2564,Lee Hill Series Vol. 4 - Manhattan Style Rye Ale,Upslope Brewing Company,"Boulder, CO",Rye Beer,19.2 oz.,10.40%,N/A
2563,Lee Hill Series Vol. 2 - Wild Saison,Upslope Brewing Company,"Boulder, CO",American Wild Ale,19.2 oz.,6.80%,24
2562,Lee Hill Series Vol. 3 - Barrel Aged Imperial Stout,Upslope Brewing Company,"Boulder, CO",American Double / Imperial Stout,19.2 oz.,9.90%,51
2561,Lee Hill Series Vol. 1 - Barrel Aged Brown Ale,Upslope Brewing Company,"Boulder, CO",American Brown Ale,19.2 oz.,7.60%,N/A
2560,Blood Orange Saison,Upslope Brewing Company,"Boulder, CO",Saison / Farmhouse Ale,12 oz.,6.00%,N/A
2559,Blood of the Unicorn,Pipeworks Brewing Company,"Chicago, IL",American Amber / Red Ale,16 oz.,6.50%,N/A
2558,Moar,Bent Brewstillery,"Roseville, MN",English India Pale Ale (IPA),12 oz.,4.40%,44
2557,Uber Lupin Schwarz IPA,Bent Brewstillery,"Roseville, MN",American Double / Imperial IPA,16 oz.,8.30%,N/A
2556,Nordic Blonde,Bent Brewstillery,"Roseville, MN",American Blonde Ale,12 oz.,5.70%,27
2555,Ginger Peach Saison,Tallgrass Brewing Company,"Manhattan, KS",Saison / Farmhouse Ale,16 oz.,4.80%,20
2554,Moped Traveler,Flesk Brewing Company,"Lombard, IL",American Pale Ale (APA),16 oz.,5.50%,N/A
2553,Mazzie,Pollyanna Brewing Company,"Lemont, IL",American Pale Ale (APA),12 oz.,5.40%,45
2552,Painted Turtle,BuckleDown Brewing,"Lyons, IL",American Pale Ale (APA),12 oz.,4.50%,N/A
2551,Waterkeeper,SweetWater Brewing Company,"Atlanta, GA",Hefeweizen,12 oz.,5.70%,N/A
2550,Weissenheimer,Destihl Brewery,"Bloomington, IL",Hefeweizen,12 oz.,5.20%,16
2549,Make It So,Summit Brewing Company,"St. Paul, MN",Extra Special / Strong Bitter (ESB),12 oz.,5.30%,40
2548,Beasts A'Burnin',Brewery Vivant,"Grand Rapids, MI",Rauchbier,16 oz.,7.00%,N/A
2547,Beach Cruiser,Latitude 42 Brewing Company,"Portage, MI",Hefeweizen,12 oz.,4.50%,N/A
2546,Perzik Saison,Avery Brewing Company,"Boulder, CO",Saison / Farmhouse Ale,12 oz.,6.40%,N/A
2545,Passion Fruit Prussia,4 Hands Brewing Company,"Saint Louis, MO",Berliner Weissbier,12 oz.,3.50%,11
2544,Send Help,4 Hands Brewing Company,"Saint Louis, MO",American Blonde Ale,12 oz.,4.50%,18
2543,Todd the Axe Man,Surly Brewing Company,"Brooklyn Center, MN",American IPA,16 oz.,7.20%,N/A
2542,Verdun,Brewery Vivant,"Grand Rapids, MI",Bière de Garde,16 oz.,7.70%,N/A
2541,Barrel Aged Triomphe,Brewery Vivant,"Grand Rapids, MI",Belgian IPA,16 oz.,6.50%,N/A
