ENTRY,BEER,BREWERY,LOCATION,STYLE,SIZE,ABV,IBUs
2136,God Damn Pigeon Porter,Spiteful Brewing Company,"Chicago, IL",American Porter,16 oz.,8.20%,N/A
2135,Working for the Weekend,Spiteful Brewing Company,"Chicago, IL",American Double / Imperial IPA,16 oz.,7.90%,N/A
2134,Angry Adam,Spiteful Brewing Company,"Chicago, IL",American Amber / Red Ale,16 oz.,6.00%,N/A
2133,Thunder Snow,Madtree Brewing Company,"Cincinnati, OH",Winter Warmer,12 oz.,8.50%,N/A
2132,Dad,Rhinegeist Brewery,"Cincinnati, OH",American Amber / Red Ale,12 oz.,6.00%,60
2131,Cone Crusher,18th Street Brewery,"Gary, IN",American Double / Imperial IPA,12 oz.,8.60%,N/A
2129,Monarch Classic American Wheat,Grapevine Craft Brewery,"Farmers Branch, TX",American Pale Wheat Ale,12 oz.,4.30%,21
2127,Sir William's English Brown Ale,Grapevine Craft Brewery,"Farmers Branch, TX",English Brown Ale,12 oz.,4.90%,21
2126,Lakefire Rye Pale Ale,Grapevine Craft Brewery,"Farmers Branch, TX",American Pale Ale (APA),12 oz.,5.50%,35
2125,1836,Buffalo Bayou Brewing Company,"Houston, TX",American Blonde Ale,12 oz.,6.00%,40
2124,Summer's Wit,Buffalo Bayou Brewing Company,"Houston, TX",Witbier,12 oz.,6.00%,20
2123,More Cowbell,Buffalo Bayou Brewing Company,"Houston, TX",American Double / Imperial IPA,16 oz.,9.00%,118
2122,Point Special (2013),Stevens Point Brewery,"Stevens Point, WI",American Adjunct Lager,12 oz.,4.70%,9
2121,Point Special (2012),Stevens Point Brewery,"Stevens Point, WI",American Adjunct Lager,12 oz.,4.70%,9
2120,The Imperial Texan,Martin House Brewing Company,"Fort Worth, TX",American Double / Imperial IPA,16 oz.,8.00%,N/A
2119,First Stand,Texian Brewing Co.,"Richmond, TX",Saison / Farmhouse Ale,12 oz.,5.50%,35
2118,Battle LIne,Texian Brewing Co.,"Richmond, TX",American Brown Ale,12 oz.,6.30%,23
2117,Broken Bridge,Texian Brewing Co.,"Richmond, TX",Dunkelweizen,12 oz.,5.60%,12
2116,Brutus,Texian Brewing Co.,"Richmond, TX",English India Pale Ale (IPA),12 oz.,7.10%,69
2115,Point Special Lager,Stevens Point Brewery,"Stevens Point, WI",American Adjunct Lager,16 oz.,4.70%,9
2113,Lyric Ale,Orpheus Brewing,"Atlanta, GA",Saison / Farmhouse Ale,12 oz.,6.50%,N/A
2112,Atalanta,Orpheus Brewing,"Atlanta, GA",Saison / Farmhouse Ale,12 oz.,5.30%,N/A
2111,What the Butler Saw,Forgotten Boardwalk,"Cherry Hill, NJ",Witbier,12 oz.,5.00%,18
2110,1916 Shore Shiver,Forgotten Boardwalk,"Cherry Hill, NJ",American IPA,12 oz.,6.90%,65
2109,Freedom Fries,Spiteful Brewing Company,"Chicago, IL",American Stout,16 oz.,5.50%,N/A
2108,Laughing Dog Cream Ale,Laughing Dog Brewing Company,"Ponderay, ID",Cream Ale,12 oz.,5.00%,12
2107,Plum St. Porter,Bozeman Brewing Company,"Bozeman, MT",American Porter,12 oz.,6.00%,52
2106,King Coconut,Catawba Valley Brewing Company,"Morganton, NC",American Porter,12 oz.,5.40%,N/A
2105,Even Keel,Ballast Point Brewing Company,"San Diego, CA",American IPA,12 oz.,3.80%,40
2104,Aprè Shred,Big Choice Brewing,"Broomfield, CO",American Strong Ale,16 oz.,8.10%,17
2103,California Lager,Anchor Brewing Company,"San Francisco, CA",American Amber / Red Lager,12 oz.,4.90%,N/A
2102,Brotherhood Steam,Anchor Brewing Company,"San Francisco, CA",California Common / Steam Beer,12 oz.,5.60%,N/A
2101,Smoky Wheat,Brewery Vivant,"Grand Rapids, MI",Rauchbier,16 oz.,5.10%,N/A
2100,Yard Sale Winter Lager,Uinta Brewing Company,"Salt Lake City, UT",American Amber / Red Lager,12 oz.,4.00%,22
2099,Sophomoric Saison,18th Street Brewery,"Gary, IN",Saison / Farmhouse Ale,12 oz.,7.20%,N/A
2098,Regional Ring Of Fire,18th Street Brewery,"Gary, IN",Saison / Farmhouse Ale,12 oz.,7.30%,N/A
2097,Garce Selé,18th Street Brewery,"Gary, IN",Saison / Farmhouse Ale,12 oz.,6.90%,N/A
2096,Arcus IPA,Big Storm Brewing Company,"Odessa, FL",American IPA,12 oz.,6.90%,81
2095,Wavemaker,Big Storm Brewing Company,"Odessa, FL",American Amber / Red Ale,12 oz.,5.80%,38
2094,Epitome,Carton Brewing Company,"Atlantic Highlands, NJ",American Black Ale,16 oz.,9.90%,100
2093,Pleasure Town,Midnight Sun Brewing Company,"Anchorage, AK",American IPA,12 oz.,6.30%,61
2092,BRIPA,Brewery Vivant,"Grand Rapids, MI",Belgian IPA,16 oz.,6.20%,N/A
2091,Mela,Brewery Vivant,"Grand Rapids, MI",Belgian Dark Ale,16 oz.,6.20%,N/A
2090,Bengali,Sixpoint Craft Ales,"Brooklyn, NY",American IPA,"24 oz. ""Silo Can""",6.50%,62
2089,Trail Head,Fat Head's Brewery,"Middleburg Heights, OH",American Pale Ale (APA),12 oz.,6.30%,55
2088,Hop Stalker Fresh Hop IPA,Fat Head's Brewery,"Middleburg Heights, OH",American IPA,16 oz.,7.00%,80
2087,Blood Orange Wit,Refuge Brewery,"Temecula, CA",Witbier,16 oz.,5.00%,16
2086,W.I.P.A Snappa,Brewery Vivant,"Grand Rapids, MI",Belgian IPA,16 oz,5.30%,N/A
2085,Hop Up Offa That Brett (2014),Sun King Brewing Company,"Indianapolis, IN",Belgian Pale Ale,16 oz. Alumi-Tek®,5.80%,20
2084,PV Muckle (2013),Sun King Brewing Company,"Indianapolis, IN",Scotch Ale / Wee Heavy,16 oz. Alumi-Tek®,8.30%,23
2083,Bourbon Barrel Batch 666: Sympathy for the Devil,Sun King Brewing Company,"Indianapolis, IN",Belgian Dark Ale,16 oz. Alumi-Tek®,9.90%,36
2082,Whip Fight,Sun King Brewing Company,"Indianapolis, IN",Scotch Ale / Wee Heavy,16 oz. Alumi-Tek®,9.00%,30
2081,Port Barrel Wee Mac,Sun King Brewing Company,"Indianapolis, IN",Scotch Ale / Wee Heavy,16 oz. Alumi-Tek®,5.30%,23
2080,8 Barrel,Chatham Brewing,"Chatham, NY",American Strong Ale,16 oz.,8.00%,69
2079,Oktoberfest,Chatham Brewing,"Chatham, NY",Märzen / Oktoberfest,16 oz.,5.50%,40
2078,Stone of Arbroath,DC Brau Brewing Company,"Washington, DC",Scotch Ale / Wee Heavy,12 oz.,8.00%,N/A
2077,No Wake IPA,Geneva Lake Brewing Company,"Lake Geneva, WI",American IPA,12 oz.,7.20%,50
2076,Boathouse Blonde,Geneva Lake Brewing Company,"Lake Geneva, WI",American Blonde Ale,12 oz.,4.90%,15
2075,Cedar Point,Geneva Lake Brewing Company,"Lake Geneva, WI",American Amber / Red Ale,12 oz.,5.00%,26
2074,Pine Knob Pilsner,Rochester Mills Brewing Company,"Rochester, MI",Czech Pilsener,16 oz.,5.30%,N/A
2073,Winter Warmer (Vault Series),SanTan Brewing Company,"Chandler, AZ",Winter Warmer,16 oz.,9.50%,25
2072,MCA,Burn 'Em Brewing,"Michigan City, IN",American IPA,16 oz.,6.80%,N/A
2071,London Homesick Ale,Oasis Texas Brewing Company,"Austin, TX",English Bitter,12 oz.,4.90%,27
2070,Luchesa Lager,Oasis Texas Brewing Company,"Austin, TX",Keller Bier / Zwickel Bier,12 oz.,4.80%,35
2069,Slow Ride,Oasis Texas Brewing Company,"Austin, TX",American Pale Ale (APA),12 oz.,4.80%,35
2068,Imperial Pumpkin Stout,Cape Ann Brewing Company,"Gloucester, MA",Pumpkin Ale,16 oz.,9.90%,43
2067,Dead-Eye DIPA,Cape Ann Brewing Company,"Gloucester, MA",American Double / Imperial IPA,16 oz.,9.00%,130
2066,Fisherman's IPA,Cape Ann Brewing Company,"Gloucester, MA",American IPA,12 oz.,5.50%,64
2065,Fisherman's Pils,Cape Ann Brewing Company,"Gloucester, MA",German Pilsener,12 oz.,5.40%,35
2064,Fisherman's Brew,Cape Ann Brewing Company,"Gloucester, MA",American Amber / Red Ale,12 oz.,5.50%,30
2063,Count Hopula (Vault Series),SanTan Brewing Company,"Chandler, AZ",American Double / Imperial IPA,16 oz.,9.10%,99
2062,Noche Dulce,Borderlands Brewing Company,"Tucson, AZ",American Porter,16 oz.,7.10%,16
2061,Big Blue Van,College Street Brewhouse and Pub,"Lake Havasu City, AZ",Fruit / Vegetable Beer,16 oz.,5.80%,N/A
2060,Weize Guy,Joseph James Brewing Company,"Henderson, NV",Hefeweizen,12 oz.,5.00%,15
2059,UFO Gingerland,Harpoon Brewery,"Boston, MA",Herbed / Spiced Beer,12 oz.,5.20%,15
2058,Palate Mallet,Back East Brewing Company,"Bloomfield, CT",American Double / Imperial IPA,12 oz.,8.60%,N/A
2057,Stickin' In My Rye,Champion Brewing Company,"Charlottesville, VA",Rye Beer,24 oz.,7.00%,N/A
2056,Black Me Stout,Champion Brewing Company,"Charlottesville, VA",American Stout,12 oz.,6.00%,45
2055,Killer Kolsch,Champion Brewing Company,"Charlottesville, VA",Kölsch,12 oz.,5.00%,22
2054,Pale Alement,Burn 'Em Brewing,"Michigan City, IN",American Pale Ale (APA),16 oz,5.50%,40
2053,Fear of a Brett Planet,Round Guys Brewing,"Lansdale, PA",American Pale Ale (APA),12 oz.,5.10%,N/A
2052,Dankosaurus,Cedar Creek Brewery,"Seven Points, TX",American IPA,16 oz.,6.80%,70
2051,Bravo Four Point,Devil's Backbone Brewing Company,"Lexington, VA",American Pale Ale (APA),12 oz.,4.40%,45
2050,Cream Ale,Newburgh Brewing Company,"Newburgh, NY",Cream Ale,12 oz.,4.20%,35
2049,Headless Wylie,Rivertowne Brewing Company,"Export, PA",Pumpkin Ale,12 oz.,8.00%,N/A
2048,Dayman IPA,Rivertowne Brewing Company,"Export, PA",American IPA,12 oz.,5.00%,N/A
2047,Tarasque,Wiseacre Brewing Company,"Memphis, TN",Saison / Farmhouse Ale,12 oz.,5.90%,N/A
2045,Might As Well IPL,Golden Road Brewing,"Los Angeles, CA",American Pale Lager,16 oz.,7.20%,75
2044,Captain's Daughter,Grey Sail Brewing Company,"Westerly, RI",American Double / Imperial IPA,12 oz.,8.50%,69
2043,Skylight,New Republic Brewing Company,"College Station, TX",Dunkelweizen,12 oz.,5.60%,20
2042,Kadigan,New Republic Brewing Company,"College Station, TX",American Blonde Ale,12 oz.,5.60%,30
2041,Dammit Jim!,New Republic Brewing Company,"College Station, TX",American Amber / Red Ale,12 oz.,5.20%,50
2040,Arjuna,Anthem Brewing Company,"Oklahoma City, OK",Witbier,12 oz.,6.00%,N/A
2039,Uroboros,Anthem Brewing Company,"Oklahoma City, OK",American Stout,12 oz,8.50%,N/A
2038,Infamous IPA,Infamous Brewing Company,"Austin, TX",American IPA,12 oz.,7.00%,75
2037,The Gilded Age,Two Henrys Brewing Company,"Plant City, FL",Munich Helles Lager,12 oz.,4.50%,N/A
2036,Getaway,Lift Bridge Brewing Company,"Stillwater, MN",German Pilsener,16 oz.,5.20%,30
2035,Kolschtal Eddy,The Dudes' Brewing Company,"Torrance, CA",Kölsch,16 oz,5.50%,N/A
2034,South Bay Session IPA,The Dudes' Brewing Company,"Torrance, CA",American IPA,16 oz.,5.00%,N/A
2033,Pub Ale,Lucky Town Brewing Company,"Jackson, MS",English Dark Mild Ale,12 oz.,3.80%,18
2032,Ballistic Blonde,Lucky Town Brewing Company,"Jackson, MS",Belgian Pale Ale,12 oz.,5.10%,31
2031,Golden Fleece,Quest Brewing Company,"Greenville, SC",Belgian Pale Ale,12 oz.,4.50%,35
2030,Smoking Mirror,Quest Brewing Company,"Greenville, SC",American Porter,12 oz.,5.50%,30
2029,Tropicalia,Creature Comforts,"Athens, GA",American IPA,12 oz.,6.50%,65
2028,Athena,Creature Comforts,"Athens, GA",Berliner Weissbier,12 oz,4.50%,N/A
2027,Hyzer Flip,Fiddlehead Brewing Company,"Shelburne, VT",American Double / Imperial IPA,16 oz.,8.20%,N/A
2026,Pursuit,Half Full Brewery,"Stamford, CT",American IPA,12 oz,7.00%,40
2025,Vertex IPA,Destihl Brewery,"Bloomington, IL",American IPA,12 oz.,6.30%,76
2024,Montauk Light,Southampton Publick House,"Southampton, NY",Light Lager,12 oz.,3.50%,N/A
2023,Pepper in the Rye,Brewery Vivant,"Grand Rapids, MI",Rye Beer,16 oz,6.30%,N/A
2022,Winter White,Bell's Brewery,"Kalamazoo, MI",Witbier,16 oz.,5.00%,N/A
2021,Here Gose Nothin',Destihl Brewery,"Bloomington, IL",Gose,12 oz.,5.00%,12
2019,Enlighten,Chapman's Brewing,"Angola, IN",Kölsch,16 oz.,4.50%,N/A
2018,Ale Cider,Chapman's Brewing,"Angola, IN",Fruit / Vegetable Beer,16 oz.,6.50%,8
2017,Pail Ale,Chapman's Brewing,"Angola, IN",American Pale Ale (APA),16 oz.,5.50%,30
2016,Englishman,Chapman's Brewing,"Angola, IN",English Brown Ale,16 oz.,4.50%,N/A
2015,Strawberry Blonde,Destihl Brewery,"Bloomington, IL",Fruit / Vegetable Beer,12 oz,5.00%,N/A
2014,Operation Homefront,Cigar City Brewing Company,"Tampa, FL",American IPA,12 oz,6.20%,65
2013,Wandering Pelican,Cigar City Brewing Company,"Tampa, FL",American Black Ale,12 oz.,8.20%,65
2012,Sugar Plum,Cigar City Brewing Company,"Tampa, FL",American Brown Ale,12 oz.,5.50%,N/A
2011,Oktoberfest,Cigar City Brewing Company,"Tampa, FL",Märzen / Oktoberfest,12 oz.,5.50%,N/A
2010,Puppy's Breath Porter,Cigar City Brewing Company,"Tampa, FL",American Porter,12 oz,6.00%,N/A
2009,Happening Now,Cigar City Brewing Company,"Tampa, FL",American IPA,12 & 16 oz.,4.50%,N/A
2008,Element 29,Epic Brewing,"Denver, CO",American Pale Ale (APA),12 oz.,5.20%,N/A
2007,Norm's Gateway IPA,Griffin Claw Brewing Company,"Birmingham, MI",American IPA,12 oz.,4.00%,55
2006,Moe Lasses',Brewery Vivant,"Grand Rapids, MI",American Stout,16 oz,6.40%,N/A
2005,Barrio Blanco,Barrio Brewing Company,"Tucson, AZ",American IPA,12 oz.,6.00%,60
2004,Hop Syndrome,Epic Brewing,"Denver, CO",American Pale Lager,12 oz.,5.00%,N/A
2003,Escape to Colorado,Epic Brewing,"Denver, CO",American IPA,12 oz,6.20%,N/A
2002,Giant DIPA,Santa Cruz Mountain Brewing,"Santa Cruz, CA",American Double / Imperial IPA,16 oz.,8.90%,88
2001,Fistful Of Hops Red,Sun King Brewing Company,"Indianapolis, IN",American IPA,16 oz.,6.40%,75
2000,Fistful of Hops Orange,Sun King Brewing Company,"Indianapolis, IN",American IPA,16 oz,6.30%,75
1999,Fistful Of Hops Blue,Sun King Brewing Company,"Indianapolis, IN",American IPA,16 oz,6.40%,75
1998,Old Detroit,Frankenmuth Brewery,"Frankenmuth, MI",American Amber / Red Ale,12 oz,5.60%,N/A
1997,Pumpkin Tart,Brewery Vivant,"Grand Rapids, MI",Fruit / Vegetable Beer,16 oz.,7.00%,N/A
1996,Fistful of Hops Green,Sun King Brewing Company,"Indianapolis, IN",American IPA,16 oz.,6.40%,75
1995,Oktoberfest,SanTan Brewing Company,"Chandler, AZ",Märzen / Oktoberfest,12 oz.,5.50%,N/A
1994,The Great Pumpcan,Madtree Brewing Company,"Cincinnati, OH",Fruit / Vegetable Beer,16 oz.,7.90%,18
1993,Panther,Rhinegeist Brewery,"Cincinnati, OH",American Porter,12 oz.,5.80%,35
1992,Franz,Rhinegeist Brewery,"Cincinnati, OH",Märzen / Oktoberfest,12 oz.,5.20%,21
1990,Cherry Ale,Great Crescent Brewery,"Aurora, IN",Fruit / Vegetable Beer,16 oz.,5.70%,18
1989,Oberon,Bell's Brewery,"Kalamazoo, MI",American Pale Wheat Ale,16 oz.,5.80%,N/A
1988,Two Hearted,Bell's Brewery,"Kalamazoo, MI",American IPA,16 oz.,7.00%,N/A
1987,Shift,New Belgium Brewing Company,"Fort Collins, CO",American Pale Lager,12 oz.,5.00%,29
1986,Bushwhacker Cider,Meckley's Cidery,"Somerset Center, MI",Cider,16 oz,6.90%,N/A
1985,Weim-R-Iner,Meckley's Cidery,"Somerset Center, MI",Cider,16 oz.,6.90%,N/A
1984,Cherry Bomb,Meckley's Cidery,"Somerset Center, MI",Cider,16 oz.,6.90%,N/A
1983,Brontide,Stillwater Artisanal Ales,"Baltimore, MD",American Black Ale,12 oz.,5.00%,N/A
1982,Greenwood Beach,Temperance Beer Company,"Evanston, IL",Fruit / Vegetable Beer,12 oz.,4.00%,N/A
1981,Hardcore Chimera,Finch's Beer Company,"Chicago, IL",American Double / Imperial IPA,16 oz.,9.00%,N/A
1980,Troll Destroyer,18th Street Brewery,"Gary, IN",Belgian IPA,12 oz.,8.50%,N/A
1979,Bitter Bitch,18th Street Brewery,"Gary, IN",American Pale Ale (APA),12 oz,6.10%,60
1978,1554 Black Lager,New Belgium Brewing Company,"Fort Collins, CO",Euro Dark Lager,12 oz,5.60%,21
1977,Undertaker,Brewery Vivant,"Grand Rapids, MI",Belgian Dark Ale,16 oz.,6.70%,N/A
1976,Undertaker (2014),Brewery Vivant,"Grand Rapids, MI",Belgian Dark Ale,16 oz.,6.70%,N/A
1975,Blue Paddle,New Belgium Brewing Company,"Fort Collins, CO",Czech Pilsener,12 oz.,4.80%,N/A
1974,Coq D'Or,Brewery Vivant,"Grand Rapids, MI",Belgian Pale Ale,16 oz.,5.00%,N/A
1973,North French,Brewery Vivant,"Grand Rapids, MI",Bière de Garde,16 oz.,6.00%,N/A
1972,LuckenBock,South Austin Brewery,"South Austin, TX",Bock,16 oz.,7.00%,18
1971,Texas Pale Ale (TPA),South Austin Brewery,"South Austin, TX",American IPA,16 oz.,5.50%,40
1970,6 String Saison,South Austin Brewery,"South Austin, TX",Saison / Farmhouse Ale,16 oz.,8.00%,N/A
1969,Kol' Beer,South Austin Brewery,"South Austin, TX",Kölsch,16 oz.,5.00%,22
1968,FMB 101,Figueroa Mountain Brewing Company,"Buellton, CA",Kölsch,12 oz.,4.80%,20
1967,General George Patton Pilsner,Evil Czech Brewery,"Mishawaka, IN",Czech Pilsener,16 oz.,5.40%,48
1966,Wagon Party,Bauhaus Brew Labs,"Minneapolis, MN",California Common / Steam Beer,12 oz.,5.40%,55
1965,Sky-Five,Bauhaus Brew Labs,"Minneapolis, MN",American IPA,12 oz.,6.70%,70
1964,Stargrazer,Bauhaus Brew Labs,"Minneapolis, MN",Schwarzbier,12 oz.,5.00%,28
1963,Wonderstuff,Bauhaus Brew Labs,"Minneapolis, MN",German Pilsener,12 oz.,5.40%,48
1962,Sensi Harvest,Sixpoint Craft Ales,"Brooklyn, NY",American Pale Ale (APA),12 oz.,4.70%,50
1961,Ozark American Pale Ale,Ozark Beer Company,"Rogers, AR",American Pale Ale (APA),12 oz.,4.00%,39
1960,Saison Pamplemousse,Golden Road Brewing,"Los Angeles, CA",Saison / Farmhouse Ale,12 oz.,5.80%,35
1959,Agent a Deux,Brewery Vivant,"Grand Rapids, MI",Belgian Dark Ale,16 oz,6.50%,N/A
1958,Belgian Wit,Brewery Vivant,"Grand Rapids, MI",Witbier,16 oz.,4.50%,N/A
1957,805 Blonde Ale,Firestone Walker Brewing Company,"Paso Robles, CA",American Blonde Ale,12 oz,4.70%,N/A
1956,Farmer's Daughter Wheat,People's Brewing Company,"Lafayette, IN",American Pale Wheat Ale,12 oz.,4.20%,N/A
1955,Best Brown,Bell's Brewery,"Kalamazoo, MI",American Brown Ale,16 oz.,5.80%,N/A
1954,Ghost Ship White IPA,Capital Brewery,"Middleton, WI",American IPA,12 oz.,5.60%,55
1953,Honey Lav,Blackrocks Brewery,"Marquette, MI",American Pale Wheat Ale,12 oz.,5.20%,N/A
1952,Train Wreck,Mountain Town Brewing Company,"Mount Pleasant, MI",American Amber / Red Ale,16 oz,8.20%,N/A
1951,Upland Wheat Ale,Upland Brewing Company,"Bloomington, IN",Witbier,16 oz.,4.50%,15
1950,Dragonfly IPA,Upland Brewing Company,"Bloomington, IN",American IPA,16 oz.,6.00%,N/A
1949,Pothole Stout,Brewery Vivant,"Grand Rapids, MI",American Stout,16 oz.,6.30%,N/A
1948,30 Min Coma,Sun King Brewing Company,"Indianapolis, IN",Belgian IPA,16 oz,???,N/A
1947,Tree Bucket,Brewery Vivant,"Grand Rapids, MI",Belgian IPA,16 oz.,9.30%,N/A
1946,Overgrown American Pale Ale,Otter Creek Brewing,"Waterbury, VT",American Pale Ale (APA),12 oz.,5.50%,55
1945,Birdhouse Pale Ale,The Brewer's Art,"Baltimore, MD",Belgian Pale Ale,12 oz.,5.00%,N/A
1944,Incredible Pedal IPA,Denver Beer Company,"Denver, CO",American IPA,12 oz.,7.00%,N/A
1943,Graham Cracker Porter,Denver Beer Company,"Denver, CO",American Porter,12 oz.,5.00%,N/A
1942,Rudie Session IPA,Ska Brewing Company,"Durango, CO",American IPA,12 oz.,4.50%,N/A
1941,Monkey Chased the Weasel,Carton Brewing Company,"Atlantic Highlands, NJ",Berliner Weissbier,16 oz.,3.90%,9
1940,077XX,Carton Brewing Company,"Atlantic Highlands, NJ",American Double / Imperial IPA,16 oz.,7.80%,80
1939,Gatecrasher,Temperance Beer Company,"Evanston, IL",English India Pale Ale (IPA),12 oz.,6.60%,N/A
1938,Almanac IPA,Tractor Brewing Company,"Albuquerque, NM",American IPA,12 oz.,6.20%,72
1937,Milk Mustachio Stout,Tractor Brewing Company,"Albuquerque, NM",Milk / Sweet Stout,12 oz.,6.50%,N/A
1936,Farmer's Tan Red Ale,Tractor Brewing Company,"Albuquerque, NM",American Amber / Red Ale,12 oz.,6.00%,30
1935,Zen,Rhinegeist Brewery,"Cincinnati, OH",American Pale Ale (APA),12 oz.,4.30%,45
1934,SunSpot Golden Ale,SanTan Brewing Company,"Chandler, AZ",American Blonde Ale,12 oz.,5.00%,15
1933,Missile IPA,Champion Brewing Company,"Charlottesville, VA",American IPA,12 oz.,7.00%,65
1932,Thai Style White IPA,Upslope Brewing Company,"Boulder, CO",American White IPA,12 oz.,6.50%,33
1931,Fresh Cut Pilsner,Peak Organic Brewing Company,"Portland, ME",American Pilsner,12 oz.,4.60%,N/A
1930,Summer Session Ale,Peak Organic Brewing Company,"Portland, ME",American Pale Wheat Ale,12 oz.,5.00%,61
1929,Second Fiddle,Fiddlehead Brewing Company,"Shelburne, VT",American Double / Imperial IPA,16 oz.,8.20%,80
1928,Cape Cod Red,Cape Cod Beer,"Hyannis, MA",American Amber / Red Ale,16 oz.,5.50%,35
1927,Beach Blonde,Cape Cod Beer,"Hyannis, MA",American Blonde Ale,16 oz.,4.90%,10
1926,Long Trail IPA,Long Trail Brewing Company,"Bridgewater Corners, VT",English India Pale Ale (IPA),12 oz.,5.90%,42
1925,Trader Session IPA,Uinta Brewing Company,"Salt Lake City, UT",American IPA,12 oz.,4.00%,42
1924,Long Trail Ale,Long Trail Brewing Company,"Bridgewater Corners, VT",American Amber / Red Ale,12 oz.,4.60%,30
1923,Commotion APA,Great Raft Brewing Company,"Shreveport, LA",American Pale Ale (APA),12 oz.,5.20%,49
1922,Southern Drawl Pale Lager,Great Raft Brewing Company,"Shreveport, LA",American Pale Lager,12 oz.,5.20%,N/A
1921,Freeride APA,Alaskan Brewing Company,"Juneau, AK",American Pale Ale (APA),12 oz.,5.30%,40
1920,Alaskan Amber,Alaskan Brewing Company,"Juneau, AK",Altbier,12 oz.,5.30%,18
1919,Yonder Bock,Sierra Nevada Brewing Company,"Chico, CA",Maibock / Helles Bock,12 oz.,6.00%,N/A
1918,CANfusion Rye Bock,Sierra Nevada Brewing Company,"Chico, CA",Rye Beer,12 oz.,6.00%,N/A
1917,Left of the Dial IPA,Notch Brewing Company,"Ipswich, MA",American IPA,12 oz.,4.30%,N/A
1916,Petit Mutant,The Alchemist,"Waterbury, VT",American Wild Ale,16 oz.,6.00%,N/A
1915,The Crusher,The Alchemist,"Waterbury, VT",American Double / Imperial IPA,16 oz.,9.60%,N/A
1914,Beelzebub,The Alchemist,"Waterbury, VT",American Double / Imperial Stout,16 oz.,8.00%,N/A
1913,Hydraulion Red,Three Notch'd Brewing Company,"Charlottesville, VA",Irish Red Ale,12 oz.,5.30%,22
1912,40 Mile IPA,Three Notch'd Brewing Company,"Charlottesville, VA",American IPA,12 oz.,6.00%,50
1911,Suicide Squeeze IPA,Fort George Brewery,"Astoria, OR",American IPA,16 oz.,4.50%,N/A
1910,Lake House,Capital Brewery,"Middleton, WI",Munich Helles Lager,16 oz.,4.60%,18
1909,Big Chuck Barleywine,Portside Brewery,"Cleveland, OH",American Barleywine,12 oz.,9.90%,N/A
1908,Fresh Slice White IPA,Otter Creek Brewing,"Middlebury, VT",American White IPA,12 oz.,5.50%,45
1907,Montauk Summer Ale,Montauk Brewing Company,"Montauk, NY",American Blonde Ale,12 oz.,5.60%,28
1906,Driftwood Ale,Montauk Brewing Company,"Montauk, NY",Extra Special / Strong Bitter (ESB),12 oz.,6.00%,49
1905,Sierra Nevada Pale Ale,Sierra Nevada Brewing Company,"Chico, CA",American Pale Ale (APA),16 oz.,5.60%,37
1904,White Rabbit,Independence Brewing Company,"Austin, TX",Witbier,12 oz.,5.90%,27
1903,Let It Ride IPA,Indeed Brewing Company,"Minneapolis, MN",American IPA,12 oz.,6.80%,90
1902,14° ESB,Bent Paddle Brewing Company,"Duluth, MN",Extra Special / Strong Bitter (ESB),12 oz.,5.60%,32
1901,Bent Hop Golden IPA,Bent Paddle Brewing Company,"Duluth, MN",American IPA,12 oz.,6.20%,68
1900,Lost Sailor IPA,Berkshire Brewing Company,"South Deerfield, MA",English India Pale Ale (IPA),12 oz.,5.50%,40
1899,La Ferme Urbaine Farmhouse Ale,Foolproof Brewing Company,"Pawtucket, RI",Saison / Farmhouse Ale,12 oz.,7.80%,N/A
1898,Blackmarket Rye IPA,Black Market Brewing Company,"Temecula, CA",American IPA,12 oz.,7.50%,35
1897,Black Market Hefeweizen,Black Market Brewing Company,"Temecula, CA",Hefeweizen,12 oz.,5.00%,8
1896,Aftermath Pale Ale,Black Market Brewing Company,"Temecula, CA",American Pale Ale (APA),12 oz.,5.80%,44
1895,Groupe G,Headlands Brewing Company,"Mill Valley, CA",Belgian IPA,16 oz.,7.60%,65
1894,Pt. Bonita Rustic Lager,Headlands Brewing Company,"Mill Valley, CA",American Pale Lager,16 oz.,6.20%,40
1893,Hill 88 Double IPA,Headlands Brewing Company,"Mill Valley, CA",American Double / Imperial IPA,16 oz.,8.80%,77
1891,Longhop IPA,Bolero Snort Brewery,"Ridgefield Park, NJ",American IPA,16 oz.,4.20%,30
1890,Lucky Buck,Bolero Snort Brewery,"Ridgefield Park, NJ",Irish Dry Stout,16 oz.,4.00%,34
1889,Leatherhead Red,Thunderhead Brewing Company,"Kearney, NE",American Amber / Red Ale,12 oz.,5.20%,N/A
1888,Hoperation Overload,Destihl Brewery,"Bloomington, IL",American Double / Imperial IPA,12 oz.,9.60%,85
1887,Abbey's Single Ale (Current),Destihl Brewery,"Bloomington, IL",Abbey Single Ale,12 oz.,4.90%,22
1886,Thrasher Session India Pale Ale,Defiance Brewing Company,"Hays, KS",American IPA,12 oz.,4.50%,44
1885,Gutch English Style Mild Ale,Defiance Brewing Company,"Hays, KS",English Pale Mild Ale,12 oz.,5.00%,16
1884,Hop Freak,Milwaukee Brewing Company,"Milwaukee, WI",American Double / Imperial IPA,16 oz.,8.70%,80
1883,Centennial State Pale Ale,Oskar Blues Brewery,"Longmont, CO",American Pale Ale (APA),19.2,5.20%,N/A
1882,Whitecap Wit,Catawba Island Brewing,"Port Clinton, OH",Witbier,16 oz.,4.80%,16
